,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,City country,City datetime
282,babstovo,48.12,132.48,70.43,92,0,2.51,RU,1595970776
283,copiapo,-27.37,-70.33,62.6,63,0,8.05,CL,1595970776
284,calvinia,-31.47,19.78,49.39,63,0,3.29,ZA,1595970776
285,ribeira grande,38.52,-28.7,75.2,88,40,4.7,PT,1595970777
286,ulaangom,49.98,92.07,54.81,79,0,2.04,MN,1595970777
287,itarema,-2.92,-39.92,79.29,72,0,16.91,BR,1595970777
288,yar-sale,66.83,70.83,46.18,79,89,9.13,RU,1595970777
289,flinders,-34.58,150.86,52.0,86,81,1.01,AU,1595970777
290,maracacume,-2.04,-45.96,80.33,67,86,3.49,BR,1595970777
291,mogok,22.92,96.5,64.98,100,93,2.98,MM,1595970483
292,kabompo,-13.59,24.2,56.98,44,0,4.7,ZM,1595970777
293,jinchang,38.5,102.17,76.8,26,97,13.02,CN,1595970778
294,lagoa,39.05,-27.98,73.99,89,0,14.67,PT,1595970778
295,coahuayana,18.73,-103.68,82.4,74,75,5.82,MX,1595970778
296,opuwo,-18.06,13.84,59.07,34,0,7.65,NA,1595970778
297,winslow,35.02,-110.7,93.2,18,1,5.82,US,1595970537
298,flin flon,54.77,-101.86,77.0,44,20,3.36,CA,1595970778
299,baker city,44.77,-117.83,91.4,18,1,4.7,US,1595970778
300,kabare,-2.47,28.82,61.14,62,32,1.12,CD,1595970779
301,janoshalma,46.3,19.33,73.0,57,0,7.74,HU,1595970779
302,rurrenabaque,-14.44,-67.53,86.36,55,45,2.17,BO,1595970779
303,cap-aux-meules,47.38,-61.86,68.0,94,90,11.41,CA,1595970779
304,srednekolymsk,67.45,153.68,50.94,58,94,5.91,RU,1595970779
305,hasaki,35.73,140.83,70.0,94,75,10.29,JP,1595970779
306,storforshei,66.4,14.52,64.4,68,75,4.7,NO,1595970779
307,zhangjiakou,40.81,114.88,64.08,85,3,1.14,CN,1595970779
308,krasnogorskoye,52.3,86.2,57.29,85,100,3.65,RU,1595970780
309,portland,45.52,-122.68,87.01,39,40,8.05,US,1595970660
310,pacifica,37.61,-122.49,64.4,68,20,19.46,US,1595970780
311,pumiao,22.75,108.48,77.0,94,20,2.24,CN,1595970780
312,sterling,39.01,-77.43,91.0,74,75,8.05,US,1595970553
313,olinda,-8.01,-34.86,80.6,65,40,11.41,BR,1595970531
314,ternate,0.8,127.4,78.15,82,100,4.25,ID,1595970780
315,los llanos de aridane,28.66,-17.92,73.4,73,75,16.11,ES,1595970780
316,baruun-urt,46.68,113.28,59.85,83,98,6.49,MN,1595970781
317,limoeiro do ajuru,-1.9,-49.38,84.69,58,100,4.92,BR,1595970781
318,constitucion,-35.33,-72.42,53.47,64,0,7.61,CL,1595970781
319,cururupu,-1.83,-44.87,78.37,79,53,4.27,BR,1595970781
320,kohat,33.58,71.45,93.51,42,0,3.96,PK,1595970781
321,ponta do sol,32.67,-17.1,73.4,69,40,14.99,PT,1595970765
322,celestun,20.87,-90.4,88.3,61,68,17.83,MX,1595970782
323,inhambane,-23.86,35.38,62.1,64,0,5.14,MZ,1595970782
324,touros,-5.2,-35.46,75.2,78,19,5.82,BR,1595970782
325,cravo norte,6.3,-70.2,87.62,60,34,2.33,CO,1595970782
326,zeya,53.75,127.27,68.67,86,0,2.95,RU,1595970782
327,hazorasp,41.32,61.07,71.6,46,0,6.93,UZ,1595970782
328,kahului,20.89,-156.47,84.2,54,40,20.8,US,1595970574
329,almaznyy,48.04,40.05,75.2,73,20,6.71,RU,1595970783
330,abu dhabi,24.47,54.37,96.8,50,0,8.05,AE,1595970783
331,vanimo,-2.67,141.3,77.13,82,36,4.09,PG,1595970783
332,danane,7.26,-8.15,69.73,98,72,2.98,CI,1595970783
333,muzhi,65.37,64.67,47.21,76,55,4.25,RU,1595970783
334,severodvinsk,64.56,39.83,57.2,93,20,2.24,RU,1595970783
335,santa isabel,-23.32,-46.22,80.6,41,1,4.7,BR,1595970783
336,traralgon,-38.18,146.53,42.01,96,95,2.26,AU,1595970783
337,zemio,5.03,25.14,69.35,94,100,2.53,CF,1595970784
338,piopio,-38.47,175.02,44.01,92,80,0.96,NZ,1595970784
339,myaundzha,63.05,147.19,56.82,64,0,2.39,RU,1595970784
340,abha,18.22,42.51,71.6,64,20,5.59,SA,1595970784
341,saint george,37.1,-113.58,102.99,14,1,6.93,US,1595970784
342,luganville,-15.53,167.17,78.8,78,90,8.05,VU,1595970784
343,nazarovo,56.01,90.39,55.35,92,46,4.09,RU,1595970785
344,quarai,-30.39,-56.45,45.34,75,0,6.87,BR,1595970785
345,kidal,18.44,1.41,95.02,28,51,9.62,ML,1595970785
346,kloulklubed,7.04,134.26,75.2,94,90,3.74,PW,1595970785
347,salvador,13.83,-88.92,89.6,66,20,6.93,SV,1595970785
348,khorixas,-20.37,14.97,54.79,40,0,0.87,NA,1595970785
349,ayan,56.45,138.17,70.25,68,12,6.53,RU,1595970785
350,xichang,27.9,102.26,65.84,76,74,1.74,CN,1595970785
351,dinan,48.42,-2.25,59.0,82,10,6.93,FR,1595970786
352,harsum,52.21,9.96,62.01,65,0,1.01,DE,1595970786
353,mariinsk,56.21,87.75,54.54,95,95,4.43,RU,1595970786
354,pangnirtung,66.15,-65.71,48.2,100,90,6.93,CA,1595970786
355,susehri,40.16,38.09,63.36,78,9,4.03,TR,1595970786
356,simao,22.79,100.97,63.18,94,52,0.4,CN,1595970785
357,uyuni,-20.46,-66.83,49.93,33,0,13.8,BO,1595970786
358,road town,18.42,-64.62,86.0,74,40,13.87,VG,1595970786
359,evensk,61.95,159.23,53.17,94,100,8.99,RU,1595970787
360,aqtobe,50.28,57.21,59.0,67,0,4.47,KZ,1595970540
361,mumbwa,-14.98,27.06,54.61,68,0,7.16,ZM,1595970787
362,san pedro,14.35,121.02,78.8,94,100,5.82,PH,1595970787
363,ouahigouya,13.58,-2.42,85.1,60,37,0.65,BF,1595970787
364,bambanglipuro,-7.95,110.28,73.65,83,62,6.93,ID,1595970787
365,carmen,18.63,-91.83,93.2,56,75,14.99,MX,1595970698
366,muhos,64.81,25.99,64.4,82,99,3.36,FI,1595970788
367,puerto leguizamo,-0.19,-74.78,89.96,45,12,1.74,CO,1595970788
368,muscat,23.61,58.59,91.4,66,0,4.7,OM,1595970788
369,goderich,43.75,-81.72,80.01,61,0,8.99,CA,1595970788
370,saquarema,-22.92,-42.51,78.8,78,0,8.05,BR,1595970788
371,mattru,7.62,-11.83,74.03,88,100,3.22,SL,1595970788
372,guadix,37.3,-3.14,82.0,23,0,1.01,ES,1595970789
373,nemuro,43.32,145.57,59.74,86,99,7.0,JP,1595970789
374,alta floresta,-9.88,-56.09,93.2,23,19,6.93,BR,1595970789
375,dourbali,11.81,15.86,78.12,77,96,6.38,TD,1595970789
376,holme,56.11,10.17,57.2,82,43,6.93,DK,1595970789
377,tangermunde,52.54,11.98,64.0,58,31,6.33,DE,1595970789
378,ishigaki,24.34,124.16,82.4,94,40,6.93,JP,1595970789
379,viedma,-40.81,-63.0,48.0,54,0,1.99,AR,1595970790
380,broome,42.25,-75.83,84.99,39,20,8.05,US,1595970599
381,mollendo,-17.02,-72.01,60.12,76,36,6.33,PE,1595970790
382,alice springs,-23.7,133.88,35.6,64,0,6.93,AU,1595970790
383,conceicao da barra,-18.59,-39.73,71.87,82,17,5.7,BR,1595970710
384,lasa,46.62,10.7,63.0,87,40,3.36,IT,1595970790
385,frontera,26.93,-101.45,79.88,60,100,7.31,MX,1595970790
386,praia da vitoria,38.73,-27.07,78.8,74,20,10.02,PT,1595970790
387,elko,41.0,-115.5,93.0,8,22,11.99,US,1595970791
388,san cristobal,7.77,-72.22,91.4,49,40,13.87,VE,1595970742
389,shache,38.42,77.24,78.01,20,88,5.26,CN,1595970791
390,tingo maria,-9.29,-76.01,87.8,55,20,4.7,PE,1595970791
391,vila franca do campo,37.72,-25.43,73.4,94,40,6.93,PT,1595970791
392,villa carlos paz,-31.42,-64.5,60.01,25,0,5.82,AR,1595970791
393,manokwari,-0.87,134.08,77.31,86,100,5.01,ID,1595970791
394,yangambi,0.81,24.43,70.38,86,81,2.13,CD,1595970792
395,ilulissat,69.22,-51.1,46.4,75,98,10.29,GL,1595970792
396,santa rosa de lima,13.62,-87.89,93.2,46,40,2.24,SV,1595970792
397,umm kaddadah,13.6,26.69,79.36,61,54,19.39,SD,1595970792
398,warmbad,-28.45,18.73,60.19,37,0,5.44,NA,1595970792
399,shingu,33.73,135.98,75.4,95,100,3.4,JP,1595970792
400,mbandaka,0.05,18.26,73.87,76,42,1.28,CD,1595970792
401,paamiut,61.99,-49.67,46.44,96,100,6.13,GL,1595970792
402,saint augustine,29.89,-81.31,90.0,78,75,19.46,US,1595970793
403,itumbiara,-18.42,-49.22,80.47,32,13,4.9,BR,1595970578
404,voyvozh,62.89,54.96,54.25,77,16,3.76,RU,1595970793
405,east migpulao,7.63,123.36,77.5,83,100,1.63,PH,1595970793
406,tura,25.52,90.22,74.5,95,100,4.5,IN,1595970793
407,atbasar,51.8,68.33,56.66,86,34,9.1,KZ,1595970793
408,primero de enero,21.95,-78.43,87.8,66,40,13.87,CU,1595970794
409,kenai,60.55,-151.26,66.2,67,1,8.05,US,1595970794
410,alipur chatha,32.27,73.82,84.2,66,20,4.7,PK,1595970794
411,gat,31.61,34.76,82.0,57,0,0.72,IL,1595970794
412,half moon bay,37.46,-122.43,75.0,68,20,19.46,US,1595970794
413,matara,5.95,80.54,78.55,83,100,13.47,LK,1595970794
414,charters towers,-20.1,146.27,48.11,53,0,8.52,AU,1595970794
415,arai,37.02,138.25,73.67,87,100,3.2,JP,1595970795
416,channel-port aux basques,47.57,-59.14,61.47,94,100,14.79,CA,1595970795
417,palora,-1.7,-77.93,73.4,88,75,6.93,EC,1595970795
418,baykit,61.67,96.37,53.6,87,47,3.09,RU,1595970795
419,trairi,-3.28,-39.27,79.23,71,1,12.62,BR,1595970795
420,araouane,18.9,-3.53,93.31,33,19,8.41,ML,1595970795
421,port macquarie,-31.43,152.92,48.2,93,7,6.15,AU,1595970795
422,jackson,42.42,-122.83,97.0,22,1,4.7,US,1595970661
423,pisco,-13.7,-76.22,63.0,72,75,10.29,PE,1595970796
424,novikovo,51.15,37.89,66.7,64,32,7.16,RU,1595970796
425,ust-maya,60.42,134.53,60.03,93,100,2.01,RU,1595970796
426,kapoeta,4.77,33.59,75.0,69,76,3.69,SS,1595970796
427,lansing,42.73,-84.56,84.2,35,20,17.22,US,1595970615
428,ancud,-41.87,-73.82,44.6,81,40,4.7,CL,1595970796
429,kavaratti,10.57,72.64,81.59,79,98,18.07,IN,1595970797
430,bilibino,68.05,166.44,51.4,57,99,2.91,RU,1595970797
431,garowe,8.41,48.48,79.93,56,0,17.29,SO,1595970797
432,salta,-24.79,-65.41,55.4,28,0,6.93,AR,1595970589
433,malanje,-9.54,16.34,63.03,45,0,4.7,AO,1595970797
434,eston,51.15,-108.75,88.0,42,75,8.05,CA,1595970797
435,namibe,-15.2,12.15,66.11,79,94,8.14,AO,1595970797
436,nyurba,63.28,118.33,51.57,77,100,7.54,RU,1595970797
437,cap malheureux,-19.98,57.61,69.01,80,19,3.0,MU,1595970798
438,bairiki,1.33,172.98,82.4,74,75,16.11,KI,1595970763
439,ciudad bolivar,8.12,-63.55,89.28,59,100,2.84,VE,1595970798
440,borodino,55.91,94.9,53.55,92,5,4.38,RU,1595970798
441,roald,62.58,6.13,64.0,72,65,3.36,NO,1595970798
442,kamenka,51.32,42.77,64.99,60,0,8.05,RU,1595970798
443,komsomolets,53.75,62.07,57.0,84,7,3.85,KZ,1595970798
444,sisophon,13.59,102.97,77.38,85,87,3.69,KH,1595970798
445,buraydah,26.33,43.98,100.4,21,48,9.17,SA,1595970556
446,vacaria,-28.51,-50.93,46.0,99,100,4.94,BR,1595970799
447,aguadilla,18.43,-67.15,89.01,75,22,7.0,PR,1595970799
448,sahuaripa,29.05,-109.23,97.25,38,0,5.03,MX,1595970799
449,dalen,52.7,6.76,60.01,80,33,1.01,NL,1595970799
450,kiruna,67.86,20.23,55.4,93,92,4.74,SE,1595970799
451,plouzane,48.38,-4.62,57.2,82,10,3.36,FR,1595970800
452,lakselv,70.05,24.97,59.0,82,19,12.75,NO,1595970800
453,andenes,69.31,16.12,60.8,77,98,2.24,NO,1595970800
454,doha,25.29,51.53,96.01,67,0,1.12,QA,1595970800
455,les cayes,18.2,-73.75,87.53,64,18,4.81,HT,1595970800
456,basse,52.55,9.51,64.4,63,3,5.82,DE,1595970800
457,chaplynka,46.37,33.54,69.44,87,0,5.57,UA,1595970800
458,kudahuvadhoo,2.67,72.89,82.69,78,100,15.84,MV,1595970801
459,jalu,29.03,21.55,79.52,57,0,15.61,LY,1595970801
460,aitape,-3.14,142.35,77.52,82,34,4.47,PG,1595970801
461,kilindoni,-7.91,39.67,77.14,76,0,18.16,TZ,1595970801
462,yilan,24.76,121.75,82.4,83,20,4.7,TW,1595970801
463,manoel urbano,-8.84,-69.26,87.66,51,84,1.81,BR,1595970801
464,albury,-36.08,146.92,39.2,100,12,1.68,AU,1595970801
465,gwembe,-16.5,27.61,51.67,72,0,1.99,ZM,1595970802
466,forestville,38.85,-76.88,91.0,55,40,9.17,US,1595970802
467,sturgeon bay,44.83,-87.38,82.4,47,1,13.87,US,1595970681
468,oksovskiy,62.61,39.9,63.48,70,98,3.0,RU,1595970802
469,kaeo,-35.1,173.78,57.99,3,100,3.0,NZ,1595970802
470,komsomolskiy,40.43,71.72,80.6,42,48,4.7,UZ,1595970802
471,mata,40.68,-7.46,70.0,73,0,1.01,PT,1595970803
472,puerto escondido,15.85,-97.07,86.0,74,40,4.7,MX,1595970803
473,shahr-e babak,30.12,55.12,78.42,17,0,19.51,IR,1595970803
474,nabire,-3.37,135.48,74.37,89,95,4.38,ID,1595970803
475,cabinda,-5.55,12.2,73.17,84,6,7.47,AO,1595970803
476,tokur,53.13,132.9,65.21,92,0,2.68,RU,1595970803
477,contamana,-7.33,-75.02,88.95,49,59,3.24,PE,1595970804
478,mbuyapey,-26.2,-56.75,49.87,71,81,6.85,PY,1595970804
479,porto novo,6.5,2.6,75.2,94,20,8.05,BJ,1595970804
480,provideniya,64.38,-173.3,48.2,70,90,11.18,RU,1595970804
481,marystown,47.17,-55.15,62.19,89,98,2.77,CA,1595970804
482,aswan,24.09,32.91,95.88,33,100,12.66,EG,1595970804
483,irbeyskoye,55.64,95.45,58.62,84,96,3.29,RU,1595970804
484,gamba,-2.65,10.0,72.45,83,62,8.46,GA,1595970804
485,mikhaylovskoye,51.82,79.72,60.96,86,100,4.5,RU,1595970804
486,kirakira,-10.45,161.92,82.18,80,100,5.95,SB,1595970805
487,chulman,56.85,124.91,64.94,88,56,4.29,RU,1595970805
488,codrington,-38.27,141.97,40.73,92,1,8.01,AU,1595970805
489,balkhash,46.84,74.98,70.3,51,0,2.64,KZ,1595970805
490,limbang,4.75,115.0,78.8,94,75,3.36,MY,1595970534
491,ihosy,-22.4,46.12,55.51,87,44,6.29,MG,1595970805
492,galashki,43.11,44.99,68.0,82,81,8.95,RU,1595970805
493,edd,13.93,41.69,85.21,71,100,5.28,ER,1595970806
494,baisha,26.52,110.93,73.4,84,71,1.63,CN,1595970806
495,hofn,64.25,-15.21,51.31,81,100,7.52,IS,1595970806
496,khash,28.22,61.22,74.3,19,0,6.51,IR,1595970806
497,correntina,-13.34,-44.64,74.32,41,48,3.8,BR,1595970806
498,jiujiang,29.73,115.98,77.36,91,96,3.91,CN,1595970806
499,wahiawa,21.5,-158.02,82.4,78,90,4.7,US,1595970806
500,riyadh,24.69,46.72,98.6,23,43,6.93,SA,1595970756
501,macas,-2.32,-78.12,78.8,57,40,4.7,EC,1595970806
502,maarianhamina,60.1,19.93,62.6,88,99,8.05,AX,1595970807
503,yulara,-25.24,130.99,41.0,52,0,9.17,AU,1595970807
504,goundam,16.41,-3.67,87.82,47,64,6.62,ML,1595970807
505,longkou,37.65,120.33,71.8,86,2,8.03,CN,1595970807
506,artigas,-30.4,-56.47,45.25,75,0,6.85,UY,1595970807
507,dunmanway,51.72,-9.12,55.4,71,20,10.29,IE,1595970807
508,phan thiet,10.93,108.1,77.45,87,99,5.77,VN,1595970807
509,beysehir,37.68,31.72,70.99,46,0,10.29,TR,1595970808
510,afzalpur,17.2,76.35,80.22,79,100,10.13,IN,1595970808
511,wageningen,51.97,5.67,62.01,76,75,5.82,NL,1595970808
512,sitka,57.05,-135.33,59.0,77,40,3.36,US,1595970808
513,novobirilyussy,56.95,90.67,53.83,95,28,3.78,RU,1595970808
514,burnie,-41.07,145.92,44.01,81,100,1.99,AU,1595970808
515,kampong thum,12.71,104.89,77.25,88,98,1.77,KH,1595970809
516,nouakchott,18.09,-15.98,84.2,66,6,17.22,MR,1595970809
517,san isidro,-12.12,-77.05,60.8,77,90,8.05,PE,1595970809
518,pierre,44.37,-100.35,91.0,33,1,13.87,US,1595970730
519,malinovka,53.86,27.44,68.0,94,76,6.71,BY,1595970809
520,labrea,-7.26,-64.8,89.83,41,52,3.11,BR,1595970809
521,kalmunai,7.42,81.82,77.74,80,100,5.61,LK,1595970810
522,santa cruz,-17.8,-63.17,75.2,38,75,14.99,BO,1595970810
523,christchurch,-43.53,172.63,46.0,100,100,3.36,NZ,1595970603
524,uddevalla,58.35,11.94,57.0,82,65,5.01,SE,1595970810
525,bengkulu,-3.8,102.27,74.1,91,97,4.59,ID,1595970810
526,carutapera,-1.2,-46.02,79.38,79,4,9.55,BR,1595970810
527,bermejo,-32.88,-68.8,55.4,24,0,8.05,AR,1595970810
528,havoysund,71.0,24.66,68.0,56,100,13.87,NO,1595970810
529,ahipara,-35.17,173.17,55.92,78,99,9.6,NZ,1595970767
530,mikumi,-7.4,36.98,64.6,74,0,2.53,TZ,1595970811
531,sobolevo,54.43,31.9,64.38,91,100,6.46,RU,1595970802
532,sibolga,1.74,98.78,73.83,80,100,5.5,ID,1595970811
533,bratsk,56.13,101.61,57.2,87,100,2.24,RU,1595970811
534,san policarpo,12.18,125.51,77.11,88,100,4.81,PH,1595970811
535,honiara,-9.43,159.95,75.2,100,75,4.7,SB,1595970805
536,byron bay,-28.65,153.62,53.01,81,15,6.93,AU,1595970742
537,vysokogornyy,50.12,139.15,63.05,84,0,2.17,RU,1595970812
538,saint-augustin,51.23,-58.65,62.24,67,28,9.55,CA,1595970812
539,caravelas,-17.71,-39.25,71.2,77,27,5.01,BR,1595970812
540,yaan,7.38,8.57,73.15,94,100,6.4,NG,1595970812
541,port antonio,18.18,-76.46,89.6,62,20,17.22,JM,1595970812
542,port hawkesbury,45.62,-61.35,72.0,94,90,6.93,CA,1595970630
543,salinopolis,-0.61,-47.36,80.96,79,58,13.31,BR,1595970812
544,carmarthen,51.86,-4.31,60.01,67,23,16.11,GB,1595970717
545,algiers,36.75,3.04,78.8,88,20,2.24,DZ,1595970813
546,sao joao da barra,-21.64,-41.05,75.2,78,0,13.87,BR,1595970813
547,necochea,-38.55,-58.74,44.01,91,64,4.0,AR,1595970813
548,miracatu,-24.28,-47.46,77.85,53,68,2.01,BR,1595970813
549,santiago del estero,-27.8,-64.26,61.34,30,0,6.11,AR,1595970796
550,westport,41.14,-73.36,90.0,60,30,9.17,US,1595970813
551,saint anthony,45.02,-93.22,84.99,42,20,10.29,US,1595970813
552,fauske,67.26,15.39,64.0,67,40,12.75,NO,1595970814
553,altamira,-3.2,-52.21,89.6,40,20,4.7,BR,1595970814
554,rawson,-43.3,-65.1,47.23,57,0,9.51,AR,1595970584
555,waipawa,-41.41,175.52,50.0,87,100,4.7,NZ,1595970814
556,mabaruma,8.2,-59.78,83.25,80,84,4.07,GY,1595970814
557,tombouctou,20.0,-3.0,92.52,38,27,12.88,ML,1595970814
558,nishihara,26.18,127.76,82.4,88,40,9.17,JP,1595970814
559,feicheng,35.26,117.97,68.65,92,95,2.21,CN,1595970815
560,kirillov,59.86,38.38,68.0,82,40,4.47,RU,1595970815
561,mitu,1.2,-70.17,78.55,94,100,1.95,CO,1595970815
562,ukiah,39.15,-123.21,97.0,21,1,5.82,US,1595970815
563,howard springs,-12.5,131.05,64.99,27,27,6.93,AU,1595970815
564,altea,38.6,-0.05,84.0,53,0,10.56,ES,1595970815
